Object_ID,Length,Gamma,1st_assignment,score1,2nd_assignment,score2,confidence
SRR7497167.232,4429,0,NA,0,NA,0,0
SRR7497167.233,1072,0,NA,0,NA,0,0
SRR7497167.234,7321,0,NA,0,NA,0,0
SRR7497167.235,284,0,NA,0,NA,0,0
SRR7497167.236,774,0,NA,0,NA,0,0
SRR7497167.237,4614,0,NA,0,NA,0,0
SRR7497167.238,2402,0,NA,0,NA,0,0
SRR7497167.239,2649,0,NA,0,NA,0,0
SRR7497167.240,5017,0,NA,0,NA,0,0
SRR7497167.241,566,0,NA,0,NA,0,0
SRR7497167.242,7248,0,NA,0,NA,0,0
SRR7497167.243,9219,0.000326335,5833,3,NA,0,1
SRR7497167.244,2961,0,NA,0,NA,0,0
SRR7497167.245,6274,0.000320102,28901,1,1313,1,0.5
SRR7497167.246,8722,0,NA,0,NA,0,0
SRR7497167.247,1121,0,NA,0,NA,0,0
SRR7497167.248,1892,0,NA,0,NA,0,0
SRR7497167.249,1536,0,NA,0,NA,0,0
SRR7497167.250,2592,0,NA,0,NA,0,0
SRR7497167.251,9118,0,NA,0,NA,0,0
SRR7497167.252,4155,0,NA,0,NA,0,0
SRR7497167.253,7097,0,NA,0,NA,0,0
SRR7497167.254,1878,0,NA,0,NA,0,0
SRR7497167.255,2161,0,NA,0,NA,0,0
SRR7497167.256,3645,0,NA,0,NA,0,0
SRR7497167.257,1060,0,NA,0,NA,0,0
SRR7497167.258,572,0,NA,0,NA,0,0
SRR7497167.259,3190,0.000316056,1513,1,NA,0,1
SRR7497167.260,9759,0,NA,0,NA,0,0
SRR7497167.261,6216,0,NA,0,NA,0,0
SRR7497167.262,10362,0,NA,0,NA,0,0
SRR7497167.263,3770,0,NA,0,NA,0,0
SRR7497167.264,10423,0,NA,0,NA,0,0
SRR7497167.265,7641,0,NA,0,NA,0,0
SRR7497167.266,2890,0,NA,0,NA,0,0
SRR7497167.267,518,0,NA,0,NA,0,0
SRR7497167.268,2767,0,NA,0,NA,0,0
SRR7497167.269,2365,0,NA,0,NA,0,0
SRR7497167.270,1605,0.00633312,562,5,666,2,0.714286
SRR7497167.271,3690,0,NA,0,NA,0,0
SRR7497167.272,6692,0,NA,0,NA,0,0
SRR7497167.273,4351,0,NA,0,NA,0,0
SRR7497167.274,5772,0,NA,0,NA,0,0
SRR7497167.275,3045,0,NA,0,NA,0,0
SRR7497167.276,1453,0,NA,0,NA,0,0
SRR7497167.277,1345,0.00075815,5501,1,NA,0,1
SRR7497167.278,2962,0,NA,0,NA,0,0
SRR7497167.279,1978,0,NA,0,NA,0,0
SRR7497167.280,3244,0,NA,0,NA,0,0
SRR7497167.281,1176,0,NA,0,NA,0,0
SRR7497167.282,1669,0,NA,0,NA,0,0
SRR7497167.283,12235,0,NA,0,NA,0,0
SRR7497167.284,1336,0,NA,0,NA,0,0
SRR7497167.285,434,0,NA,0,NA,0,0
SRR7497167.286,1056,0,NA,0,NA,0,0
SRR7497167.287,5409,0,NA,0,NA,0,0
SRR7497167.288,1163,0,NA,0,NA,0,0
SRR7497167.289,445,0,NA,0,NA,0,0
SRR7497167.290,2403,0,NA,0,NA,0,0
SRR7497167.291,3722,0,NA,0,NA,0,0
SRR7497167.292,3170,0,NA,0,NA,0,0
SRR7497167.293,6689,0,NA,0,NA,0,0
SRR7497167.294,8933,0,NA,0,NA,0,0
SRR7497167.295,518,0,NA,0,NA,0,0
SRR7497167.296,3735,0,NA,0,NA,0,0
SRR7497167.297,5664,0,NA,0,NA,0,0
SRR7497167.298,2664,0,NA,0,NA,0,0
SRR7497167.299,942,0,NA,0,NA,0,0
SRR7497167.300,847,0,NA,0,NA,0,0
SRR7497167.301,540,0,NA,0,NA,0,0
SRR7497167.302,7308,0,NA,0,NA,0,0
SRR7497167.303,2799,0,NA,0,NA,0,0
SRR7497167.304,3717,0,NA,0,NA,0,0
SRR7497167.305,642,0,NA,0,NA,0,0
SRR7497167.306,8476,0.000118343,5833,1,NA,0,1
SRR7497167.307,5023,0,NA,0,NA,0,0
SRR7497167.308,629,0,NA,0,NA,0,0
SRR7497167.309,1304,0,NA,0,NA,0,0
SRR7497167.310,7711,0,NA,0,NA,0,0
SRR7497167.311,7349,0,NA,0,NA,0,0
SRR7497167.312,2491,0,NA,0,NA,0,0
SRR7497167.313,2105,0,NA,0,NA,0,0
SRR7497167.314,11598,0,NA,0,NA,0,0
SRR7497167.315,1397,0,NA,0,NA,0,0
SRR7497167.316,10262,0,NA,0,NA,0,0
SRR7497167.317,3199,0,NA,0,NA,0,0
SRR7497167.318,466,0,NA,0,NA,0,0
SRR7497167.319,1706,0,NA,0,NA,0,0
SRR7497167.320,845,0,NA,0,NA,0,0
SRR7497167.321,14294,0,NA,0,NA,0,0
SRR7497167.322,5248,0,NA,0,NA,0,0
SRR7497167.323,1886,0,NA,0,NA,0,0
SRR7497167.324,1482,0,NA,0,NA,0,0
SRR7497167.325,11002,0,NA,0,NA,0,0
SRR7497167.326,10144,0.000197668,5833,1,5501,1,0.5
SRR7497167.327,652,0,NA,0,NA,0,0
SRR7497167.328,2707,0,NA,0,NA,0,0
SRR7497167.329,1904,0,NA,0,NA,0,0
SRR7497167.330,505,0,NA,0,NA,0,0
SRR7497167.331,732,0,NA,0,NA,0,0
SRR7497167.332,7460,0,NA,0,NA,0,0
SRR7497167.333,1120,0,NA,0,NA,0,0
SRR7497167.334,5143,0,NA,0,NA,0,0
SRR7497167.335,3968,0,NA,0,NA,0,0
SRR7497167.336,19825,0,NA,0,NA,0,0
SRR7497167.337,1306,0,NA,0,NA,0,0
SRR7497167.338,1143,0,NA,0,NA,0,0
SRR7497167.339,6012,0,NA,0,NA,0,0
SRR7497167.340,1519,0,NA,0,NA,0,0
SRR7497167.341,8649,0,NA,0,NA,0,0
SRR7497167.342,1777,0,NA,0,NA,0,0
SRR7497167.343,7295,0,NA,0,NA,0,0
SRR7497167.344,2598,0,NA,0,NA,0,0
SRR7497167.345,2234,0,NA,0,NA,0,0
SRR7497167.346,2486,0,NA,0,NA,0,0
SRR7497167.347,1371,0,NA,0,NA,0,0
SRR7497167.348,7964,0,NA,0,NA,0,0
SRR7497167.349,5679,0,NA,0,NA,0,0
SRR7497167.350,7820,0,NA,0,NA,0,0
SRR7497167.351,5491,0,NA,0,NA,0,0
SRR7497167.352,2646,0,NA,0,NA,0,0
SRR7497167.353,4415,0,NA,0,NA,0,0
SRR7497167.354,2350,0,NA,0,NA,0,0
SRR7497167.355,2981,0,NA,0,NA,0,0
SRR7497167.356,6580,0,NA,0,NA,0,0
SRR7497167.357,2186,0,NA,0,NA,0,0
SRR7497167.358,7870,0,NA,0,NA,0,0
SRR7497167.359,10302,0,NA,0,NA,0,0
SRR7497167.360,1593,0,NA,0,NA,0,0
SRR7497167.361,5119,0.00294522,5501,15,NA,0,1
SRR7497167.362,9318,0,NA,0,NA,0,0
SRR7497167.363,2411,0,NA,0,NA,0,0
SRR7497167.364,1905,0,NA,0,NA,0,0
SRR7497167.365,3524,0,NA,0,NA,0,0
SRR7497167.366,1429,0.000712758,5501,1,NA,0,1
SRR7497167.367,2237,0,NA,0,NA,0,0
SRR7497167.368,5861,0.00154242,5833,9,NA,0,1
SRR7497167.369,861,0,NA,0,NA,0,0
SRR7497167.370,4038,0,NA,0,NA,0,0
SRR7497167.371,2080,0,NA,0,NA,0,0
SRR7497167.372,5211,0,NA,0,NA,0,0
SRR7497167.373,7036,0,NA,0,NA,0,0
SRR7497167.374,777,0,NA,0,NA,0,0
SRR7497167.375,10218,0,NA,0,NA,0,0
SRR7497167.376,2153,0,NA,0,NA,0,0
SRR7497167.377,7101,0,NA,0,NA,0,0
SRR7497167.378,507,0,NA,0,NA,0,0
SRR7497167.379,4770,0,NA,0,NA,0,0
SRR7497167.380,548,0,NA,0,NA,0,0
SRR7497167.381,2487,0,NA,0,NA,0,0
SRR7497167.382,3066,0,NA,0,NA,0,0
SRR7497167.383,9752,0,NA,0,NA,0,0
SRR7497167.384,2052,0,NA,0,NA,0,0
SRR7497167.385,3049,0,NA,0,NA,0,0
