Object_ID, Length, Assignment
SRR7497167.323,1886,NA
SRR7497167.324,1482,NA
SRR7497167.325,11002,NA
SRR7497167.326,10144,5833
SRR7497167.327,652,NA
SRR7497167.328,2707,NA
SRR7497167.329,1904,NA
SRR7497167.330,505,NA
SRR7497167.331,732,NA
SRR7497167.332,7460,NA
SRR7497167.333,1120,NA
SRR7497167.334,5143,NA
SRR7497167.335,3968,NA
SRR7497167.336,19825,NA
SRR7497167.337,1306,NA
SRR7497167.338,1143,NA
SRR7497167.339,6012,NA
SRR7497167.340,1519,NA
SRR7497167.341,8649,NA
SRR7497167.342,1777,NA
SRR7497167.343,7295,NA
SRR7497167.344,2598,NA
SRR7497167.345,2234,NA
SRR7497167.346,2486,NA
SRR7497167.347,1371,NA
SRR7497167.348,7964,NA
SRR7497167.349,5679,NA
SRR7497167.350,7820,NA
SRR7497167.351,5491,NA
SRR7497167.352,2646,NA
SRR7497167.353,4415,NA
SRR7497167.354,2350,NA
SRR7497167.355,2981,NA
SRR7497167.356,6580,NA
SRR7497167.357,2186,NA
SRR7497167.358,7870,NA
SRR7497167.359,10302,NA
SRR7497167.360,1593,NA
SRR7497167.361,5119,5501
SRR7497167.362,9318,NA
SRR7497167.363,2411,NA
SRR7497167.364,1905,NA
SRR7497167.365,3524,NA
SRR7497167.366,1429,5501
SRR7497167.367,2237,NA
SRR7497167.368,5861,5833
SRR7497167.369,861,NA
SRR7497167.370,4038,NA
SRR7497167.371,2080,NA
SRR7497167.372,5211,NA
SRR7497167.373,7036,NA
SRR7497167.374,777,NA
SRR7497167.375,10218,NA
SRR7497167.376,2153,NA
SRR7497167.377,7101,NA
SRR7497167.378,507,NA
SRR7497167.379,4770,NA
SRR7497167.380,548,NA
SRR7497167.381,2487,NA
SRR7497167.382,3066,NA
SRR7497167.383,9752,NA
SRR7497167.384,2052,NA
SRR7497167.385,3049,NA
SRR7497167.386,2508,NA
SRR7497167.387,5747,5833
SRR7497167.388,9369,NA
SRR7497167.389,5543,NA
SRR7497167.390,5750,NA
SRR7497167.391,3819,NA
SRR7497167.392,3672,NA
SRR7497167.393,3023,NA
SRR7497167.394,4437,NA
SRR7497167.395,3174,NA
SRR7497167.396,9149,NA
SRR7497167.397,623,NA
SRR7497167.398,3922,NA
SRR7497167.399,5438,NA
SRR7497167.400,2084,NA
SRR7497167.401,518,NA
SRR7497167.402,2463,NA
SRR7497167.403,575,NA
SRR7497167.404,2134,NA
SRR7497167.405,1729,NA
SRR7497167.406,2364,NA
SRR7497167.407,2854,NA
SRR7497167.408,7501,NA
SRR7497167.409,1567,NA
SRR7497167.410,4800,NA
SRR7497167.411,4531,NA
SRR7497167.412,2041,NA
SRR7497167.413,1447,NA
SRR7497167.414,6964,NA
SRR7497167.415,4211,NA
SRR7497167.416,2466,NA
SRR7497167.417,2520,NA
SRR7497167.418,9226,NA
SRR7497167.419,1049,NA
SRR7497167.420,4359,NA
SRR7497167.421,9234,NA
SRR7497167.422,937,NA
SRR7497167.423,4461,NA
SRR7497167.424,2785,NA
SRR7497167.425,1800,NA
SRR7497167.426,1062,NA
SRR7497167.427,1918,NA
SRR7497167.428,4436,NA
SRR7497167.429,4209,NA
SRR7497167.430,4652,NA
SRR7497167.431,1299,NA
SRR7497167.432,4885,NA
SRR7497167.433,3672,NA
SRR7497167.434,3638,NA
SRR7497167.435,3248,NA
SRR7497167.436,1160,NA
SRR7497167.437,1494,NA
SRR7497167.438,800,NA
SRR7497167.439,5204,NA
SRR7497167.440,1946,NA
SRR7497167.441,4340,NA
SRR7497167.442,5006,NA
SRR7497167.443,1200,NA
SRR7497167.444,5861,NA
SRR7497167.445,7271,NA
SRR7497167.446,3308,NA
SRR7497167.447,619,NA
SRR7497167.448,4224,NA
SRR7497167.449,4971,NA
SRR7497167.450,2093,5833
SRR7497167.451,4557,NA
SRR7497167.452,1304,NA
SRR7497167.453,2344,NA
SRR7497167.454,3827,NA
SRR7497167.455,2072,NA
SRR7497167.456,5125,NA
SRR7497167.457,6825,NA
SRR7497167.458,4173,NA
SRR7497167.459,5746,NA
SRR7497167.460,5596,NA
SRR7497167.461,934,NA
SRR7497167.462,1128,NA
SRR7497167.463,1672,NA
SRR7497167.464,5299,NA
SRR7497167.465,391,NA
SRR7497167.466,2402,NA
SRR7497167.467,6074,5501
SRR7497167.468,1829,NA
SRR7497167.469,1847,NA
SRR7497167.470,7241,5833
SRR7497167.471,1215,NA
SRR7497167.472,2502,NA
SRR7497167.473,2905,NA
SRR7497167.474,943,NA
SRR7497167.475,2127,NA
SRR7497167.476,2699,NA
SRR7497167.477,1268,NA
SRR7497167.478,3042,287
SRR7497167.479,520,NA
SRR7497167.480,1718,NA
SRR7497167.481,1529,NA
SRR7497167.482,1396,NA
SRR7497167.483,2700,NA
SRR7497167.484,13171,NA
SRR7497167.485,1618,NA
SRR7497167.486,2706,NA
SRR7497167.487,11961,5833
SRR7497167.488,4210,NA
SRR7497167.489,7433,NA
SRR7497167.490,4268,NA
SRR7497167.491,6479,NA
SRR7497167.492,1089,NA
SRR7497167.493,768,NA
SRR7497167.494,8265,NA
SRR7497167.495,2233,NA
SRR7497167.496,1003,NA
SRR7497167.497,9582,NA
SRR7497167.498,1109,NA
SRR7497167.499,4876,NA
SRR7497167.500,4325,NA
SRR7497167.501,876,NA
SRR7497167.502,5477,NA
SRR7497167.503,4242,NA
SRR7497167.504,2185,NA
SRR7497167.505,4602,NA
SRR7497167.506,7684,NA
SRR7497167.507,3698,NA
SRR7497167.508,714,NA
SRR7497167.509,3122,NA
SRR7497167.510,4666,666
SRR7497167.511,6717,NA
SRR7497167.512,5058,5501
SRR7497167.513,10114,NA
SRR7497167.514,2362,NA
SRR7497167.515,539,NA
SRR7497167.516,9766,NA
SRR7497167.517,1430,NA
SRR7497167.518,10785,NA
SRR7497167.519,2407,NA
SRR7497167.520,4546,NA
SRR7497167.521,5834,NA
SRR7497167.522,7395,470
SRR7497167.523,1180,NA
SRR7497167.524,8242,NA
SRR7497167.525,1184,NA
SRR7497167.526,5892,NA
SRR7497167.527,5365,NA
SRR7497167.528,1128,NA
SRR7497167.529,7121,NA
SRR7497167.530,10192,NA
SRR7497167.531,3531,NA
SRR7497167.532,3198,NA
SRR7497167.533,2578,NA
SRR7497167.534,11912,NA
SRR7497167.535,6264,NA
SRR7497167.536,3455,NA
SRR7497167.537,1724,NA
SRR7497167.538,3747,NA
SRR7497167.539,5241,NA
SRR7497167.540,1954,NA
SRR7497167.541,4409,NA
SRR7497167.542,2090,NA
SRR7497167.543,4161,NA
SRR7497167.544,1098,NA
SRR7497167.545,5572,NA
SRR7497167.546,1914,NA
SRR7497167.547,3400,NA
SRR7497167.548,5805,NA
SRR7497167.549,1518,480
SRR7497167.550,3716,NA
SRR7497167.551,1156,NA
SRR7497167.552,2677,NA
SRR7497167.553,565,NA
SRR7497167.554,778,NA
SRR7497167.555,4458,NA
SRR7497167.556,3930,NA
SRR7497167.557,5096,666
SRR7497167.558,9320,NA
SRR7497167.559,1039,NA
SRR7497167.560,2218,NA
SRR7497167.561,2627,NA
SRR7497167.562,590,NA
SRR7497167.563,3239,NA
SRR7497167.564,5519,NA
SRR7497167.565,4226,5833
SRR7497167.566,4253,NA
SRR7497167.567,779,NA
SRR7497167.568,2065,NA
SRR7497167.569,3415,NA
SRR7497167.570,2819,NA
SRR7497167.571,6880,NA
SRR7497167.572,1326,NA
