Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Photobacterium leiognathi subsp. leiognathi,658,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Photobacterium; Photobacterium leiognathi; Photobacterium leiognathi subsp. leiognathi,2,0.000467,0.013768
Caulobacter sp.,78,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Caulobacterales; Caulobacteraceae; Caulobacter; unclassified Caulobacter; Caulobacter sp.,2,0.000467,0.013768
Hyphomonas sp.,87,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomonadales; Hyphomonadaceae; Hyphomonas; unclassified Hyphomonas; Hyphomonas sp.,2,0.000467,0.013768
Polyangiaceae,49,cellular organisms; Bacteria; Myxococcota; Polyangia; Polyangiales; Polyangiaceae,2,0.000467,0.013768
Unknown (taxid 80),80,taxid_80,2,0.000467,0.013768
Unknown (taxid 92),92,taxid_92,2,0.000467,0.013768
Brucella,234,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomicrobiales; Brucellaceae; Brucella/Ochrobactrum group; Brucella,2,0.000467,0.013768
Unknown (taxid 111),111,taxid_111,2,0.000467,0.013768
Leptothrix,88,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Sphaerotilaceae; Leptothrix,2,0.000467,0.013768
Campylobacter lari,201,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Campylobacteraceae; Campylobacter; Campylobacter lari,2,0.000467,0.013768
Unknown (taxid 37),37,taxid_37,2,0.000467,0.013768
Unknown (taxid 186),186,taxid_186,2,0.000467,0.013768
Unknown (taxid 77),77,taxid_77,2,0.000467,0.013768
Unknown (taxid 36),36,taxid_36,2,0.000467,0.013768
Unknown (taxid 591),591,taxid_591,2,0.000467,0.013768
Avibacterium gallinarum,755,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Avibacterium; Avibacterium gallinarum,2,0.000467,0.013768
Hyphomonas jannaschiana,86,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Hyphomonadales; Hyphomonadaceae; Hyphomonas; Hyphomonas jannaschiana,2,0.000467,0.013768
Unknown (taxid 66),66,taxid_66,2,0.000467,0.013768
