Name,TaxID,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Chlorococcaceae,3090,cellular organisms; Eukaryota; Viridiplantae; Chlorophyta; core chlorophytes; Chlorophyceae; CS clade; Chlamydomonadales; Chlorococcaceae,1,0.000352,0.019194
Unknown (taxid 87897846),87897846,taxid_87897846,1,0.000352,0.019194
Pirellula sp.,117,cellular organisms; Bacteria; PVC group; Planctomycetota; Planctomycetia; Pirellulales; Pirellulaceae; Pirellula; unclassified Pirellula; Pirellula sp.,1,0.000352,0.019194
Leptospiraceae,170,cellular organisms; Bacteria; Spirochaetota; Spirochaetia; Leptospirales; Leptospiraceae,1,0.000352,0.019194
Proteus vulgaris,585,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus; Proteus vulgaris,1,0.000352,0.019194
Neisseria gonorrhoeae,485,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Neisseriales; Neisseriaceae; Neisseria; Neisseria gonorrhoeae,1,0.000352,0.019194
Isosphaera pallida,128,cellular organisms; Bacteria; PVC group; Planctomycetota; Planctomycetia; Isosphaerales; Isosphaeraceae; Isosphaera; Isosphaera pallida,1,0.000352,0.019194
Unknown (taxid 1732123325),1732123325,taxid_1732123325,1,0.000352,0.019194
Unknown (taxid 21110),21110,taxid_21110,1,0.000352,0.019194
Unknown (taxid 15),15,taxid_15,1,0.000352,0.019194
Unknown (taxid 22121),22121,taxid_22121,1,0.000352,0.019194
Tuberoidobacter mutans,132,cellular organisms; Bacteria; Pseudomonadota; Alphaproteobacteria; Alphaproteobacteria incertae sedis; Tuberoidobacter; Tuberoidobacter mutans,1,0.000352,0.019194
Unknown (taxid 989013227),989013227,taxid_989013227,1,0.000352,0.019194
Nannocystis,53,cellular organisms; Bacteria; Myxococcota; Polyangia; Nannocystales; Nannocystaceae; Nannocystis,1,0.000352,0.019194
Pulmonata sp. BOLD:AAO1886,976366,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Heterobranchia; unclassified Heterobranchia; Pulmonata sp. BOLD:AAO1886,1,0.000352,0.019194
Hydrophyllum,4133,cellular organisms; Eukaryota; Viridiplantae; Streptophyta; Streptophytina; Embryophyta; Tracheophyta; Euphyllophyta; Spermatophyta; Magnoliopsida; Mesangiospermae; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Boraginales; Hydrophyllaceae; Hydrophyllum,1,0.000352,0.019194
Vermicularia knorri,13752,cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Protostomia; Spiralia; Lophotrochozoa; Mollusca; Gastropoda; Caenogastropoda; Sorbeoconcha; Cerithioidea; Turritellidae; Vermicularia; Vermicularia knorri,1,0.000352,0.019194
Helicobacter cinaedi,213,cellular organisms; Bacteria; Campylobacterota; Epsilonproteobacteria; Campylobacterales; Helicobacteraceae; Helicobacter; Helicobacter cinaedi,1,0.000352,0.019194
Myxococcus xanthus,34,cellular organisms; Bacteria; Myxococcota; Myxococcia; Myxococcales; Cystobacterineae; Myxococcaceae; Myxococcus; Myxococcus xanthus,1,0.000352,0.019194
